ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
16,0.000,0.000,0.001,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:1572(getim)
9,0.000,0.000,0.016,0.002,C:\Python314\Lib\site-packages\PIL\Image.py:3458(open)
9,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:428(_getencoder)
11,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:403(_getdecoder)
9,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:3437(_decompression_bomb_check)
9,0.000,0.000,0.003,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:3167(frombuffer)
2,0.000,0.000,0.001,0.001,C:\Python314\Lib\site-packages\PIL\Image.py:831(frombytes)
9,0.000,0.000,0.007,0.001,C:\Python314\Lib\site-packages\PIL\Image.py:748(tobytes)
28/14,0.000,0.000,0.002,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:2220(resize)
2,0.001,0.000,0.034,0.017,C:\Python314\Lib\site-packages\torchvision\transforms\functional.py:127(to_tensor)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\matplotlib\colors.py:325(_to_rgba_no_colorcycle)
12,0.000,0.000,0.002,0.000,C:\Python314\Lib\site-packages\matplotlib\patches.py:48(__init__)
83,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:532(__init__)
22,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:553(width)
22,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:557(height)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:1367(getbands)
7,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:1254(copy)
5,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:3687(register_open)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:3763(register_extensions)
108,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\_binary.py:94(i32be)
3,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:3784(register_decoder)
131,0.000,0.000,0.000,0.000,<string>:1(<lambda>)
7,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\_util.py:17(__init__)
12,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:3752(register_extension)
18,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\_util.py:12(is_path)
4,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torchvision\utils.py:769(_log_api_usage_once)
2,0.000,0.000,0.010,0.005,C:\Python314\Lib\site-packages\torchvision\transforms\transforms.py:277(forward)
2,0.001,0.001,0.035,0.018,C:\Python314\Lib\site-packages\torchvision\transforms\transforms.py:129(__call__)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torchvision\transforms\functional.py:117(_is_numpy)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torchvision\transforms\_functional_tensor.py:13(_assert_image_tensor)
4,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torchvision\transforms\_functional_pil.py:17(_is_pil_image)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torchvision\transforms\_functional_pil.py:44(get_image_num_channels)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torchvision\transforms\_functional_tensor.py:9(_is_tensor_a_torch_image)
226,0.001,0.000,0.002,0.000,C:\Python314\Lib\site-packages\matplotlib\cbook.py:1752(normalize_kwargs)
27,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\PngImagePlugin.py:207(crc)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\matplotlib\ticker.py:2095(_validate_steps)
45,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\PngImagePlugin.py:167(read)
2,0.000,0.000,0.001,0.000,C:\Python314\Lib\site-packages\matplotlib\colors.py:2331(autoscale_None)
12,0.000,0.000,0.031,0.003,C:\Python314\Lib\site-packages\starlette\middleware\cors.py:155(send)
1,0.000,0.000,0.000,0.000,C:\Python314\Lib\tkinter\__init__.py:3777(Text)
1,0.000,0.000,0.001,0.001,D:\C2SE50\Elderly-Behavior-Monitoring-and-Care-Support-System\AI_Service\Camera_Service\network\heads.py:14(index_field_torch)
12,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\matplotlib\axis.py:1946(_set_formatter)
2,0.000,0.000,0.023,0.011,C:\Python314\Lib\site-packages\matplotlib\axes\_axes.py:5750(imshow)
2,0.000,0.000,0.023,0.011,C:\Python314\Lib\site-packages\matplotlib\__init__.py:1521(inner)
22,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\matplotlib\path.py:99(__init__)
2,0.000,0.000,0.002,0.001,C:\Python314\Lib\site-packages\matplotlib\image.py:919(set_extent)
2,0.000,0.000,0.001,0.001,C:\Python314\Lib\site-packages\matplotlib\axis.py:612(__init__)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\numpy\ma\core.py:1320(_replace_dtype_fields_recursive)
2,0.000,0.000,0.000,0.000,D:\C2SE50\Elderly-Behavior-Monitoring-and-Care-Support-System\AI_Service\Camera_Service\transforms\annotations.py:32(__call__)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\numpy\ma\core.py:1596(make_mask)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\anyio\_backends\_asyncio.py:954(_report_result)
1,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\matplotlib\backends\backend_macosx.py:1(<module>)
3,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\matplotlib\backends\registry.py:202(is_valid_backend)
6,0.000,0.000,0.015,0.002,C:\Python314\Lib\site-packages\matplotlib\ticker.py:452(__init__)
9,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\PngImagePlugin.py:473(chunk_IDAT)
19,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\matplotlib\transforms.py:2276(__init__)
7,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\ImageFile.py:176(_close_fp)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\matplotlib\backend_bases.py:1711(__init__)
1,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\matplotlib\backend_bases.py:3511(draw_if_interactive)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\matplotlib\axes\_base.py:2391(add_image)
4,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\numpy\ma\core.py:217(_recursive_fill_value)
2,0.000,0.000,0.001,0.000,C:\Python314\Lib\site-packages\numpy\ma\core.py:5859(min)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\numpy\ma\core.py:5957(max)
1,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\matplotlib\cbook.py:330(disconnect)
27,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\ImageFile.py:704(_safe_read)
185,0.001,0.000,0.001,0.000,C:\Python314\Lib\site-packages\matplotlib\transforms.py:2041(scale)
386,0.002,0.000,0.003,0.000,C:\Python314\Lib\site-packages\matplotlib\font_manager.py:1175(score_family)
290,0.004,0.000,0.012,0.000,C:\Python314\Lib\site-packages\matplotlib\artist.py:1188(_update_props)
1,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\matplotlib\backend_bases.py:2825(__init__)
80,0.000,0.000,0.001,0.000,C:\Python314\Lib\site-packages\matplotlib\markers.py:250(_recache)
61,0.000,0.000,0.002,0.000,C:\Python314\Lib\site-packages\matplotlib\font_manager.py:556(wrapper)
